date,direction,entry_time,exit_time,entry_px,exit_px,pts,lot_size,pnl,exit_reason
2023-02-09,LONG,10:25,12:05,17873.2,17842.0,-31.2,50,-1560.0,SIGNAL_FLIP
2023-02-09,SHORT,12:10,13:40,17842.2,17866.4,-24.2,50,-1210.0,SIGNAL_FLIP
2023-02-09,LONG,13:45,15:10,17866.4,17893.6,27.2,50,1360.0,TIME_EXIT
2023-02-10,LONG,11:05,12:00,17858.7,17832.3,-26.4,50,-1320.0,SIGNAL_FLIP
2023-02-10,SHORT,12:05,13:55,17832.1,17843.0,-10.9,50,-545.0,SIGNAL_FLIP
2023-02-10,LONG,14:00,14:55,17842.8,17834.9,-7.9,50,-395.0,SIGNAL_FLIP
2023-02-10,SHORT,15:00,15:00,17834.6,17854.0,-19.4,50,-970.0,SIGNAL_FLIP
2023-02-10,LONG,15:05,15:10,17854.8,17861.8,7.0,50,350.0,TIME_EXIT
2023-02-13,LONG,13:20,15:10,17770.0,17765.1,-4.9,50,-245.0,TIME_EXIT
2023-02-15,LONG,10:20,12:10,17932.0,17915.2,-16.8,50,-840.0,SIGNAL_FLIP
2023-02-15,SHORT,12:15,12:45,17915.5,17939.3,-23.8,50,-1190.0,SIGNAL_FLIP
2023-02-15,LONG,12:50,13:15,17939.3,17926.2,-13.1,50,-655.0,SIGNAL_FLIP
2023-02-15,SHORT,13:20,14:00,17925.8,17936.2,-10.4,50,-520.0,SIGNAL_FLIP
2023-02-15,LONG,14:05,15:10,17935.6,18015.1,79.5,50,3975.0,TIME_EXIT
2023-02-16,SHORT,12:05,13:30,18091.9,18093.0,-1.1,50,-55.0,SIGNAL_FLIP
2023-02-16,LONG,13:35,13:55,18093.0,18077.3,-15.7,50,-785.0,SIGNAL_FLIP
2023-02-16,SHORT,14:00,15:10,18077.5,18034.1,43.4,50,2170.0,TIME_EXIT
2023-02-17,LONG,15:15,15:15,17949.0,17948.0,-1.0,50,-50.0,TIME_EXIT
2023-02-20,SHORT,11:30,15:10,17932.8,17843.8,89.0,50,4450.0,TIME_EXIT
2023-02-21,SHORT,11:50,13:40,17878.8,17874.0,4.8,50,240.0,SIGNAL_FLIP
2023-02-21,LONG,13:45,14:25,17873.2,17824.2,-49.0,50,-2450.0,SIGNAL_FLIP
2023-02-21,SHORT,14:30,15:10,17824.2,17819.2,5.0,50,250.0,TIME_EXIT
2023-02-23,LONG,10:10,12:05,17592.7,17554.8,-37.9,50,-1895.0,SIGNAL_FLIP
2023-02-23,SHORT,12:10,13:15,17555.1,17576.2,-21.1,50,-1055.0,SIGNAL_FLIP
2023-02-23,LONG,13:20,13:35,17575.9,17546.3,-29.6,50,-1480.0,SIGNAL_FLIP
2023-02-23,SHORT,13:40,13:45,17546.8,17575.3,-28.5,50,-1425.0,SIGNAL_FLIP
2023-02-23,LONG,13:50,14:30,17576.2,17551.9,-24.3,50,-1215.0,SIGNAL_FLIP
